Status,id,title,description,offer,imageURL,domain,location,code,link,userId,categoryId,createdAt,updatedAt
,,Good.inc,The healthy deodorant. Backed by science.,First month for free,,https://good.inc/,,(discount already applied on the website),,,Wellness,,
Approved,,Codepilot.dev,"Launch your SaaS in days, not weeks. The Ultimate SaaS Starter Kit with all you need to ship fast.",$130 OFF,,,,(send email asking discount with code Yunakin),,,Work,,
Approved,,WeCP,WeCP is a market-leading skill assessment platform offering technical screening and remote interview solution for hiring technical talent from anywhere.,,,https://www.wecreateproblems.com/,,WECPSF,,,Work,,
Approved,c2b5c33f-7e8c-4e55-ad66-3d226d114fd5,LANS,"Discover the perfect co-working space at LANS – On-demand access to call booths, work spots, private meeting, interview rooms and shared spaces also for events, all tailored for your productivity needs. Open 8am to 11pm.",7 days free,/images/memberbenefit/lans.png,www.lans.com,"3388 17th St, SF, CA 94110",LANSING,https://maps.app.goo.gl/S9ynyJHEzgSD8xWV6,03918f10-8509-4854-9501-01185b92068c,Work,2024-06-28 7:50:48,2024-06-28 7:50:48
Approved,?,Generation Lab,Extend you lifespan by reversing aging.,First month free valued at $149,,https://www.generationlab.com/,,YUNAKIN,,,Wellness,,
Approved,?,LuxFit,High-performance fitness and wellness outdoor center.,First class free valued at $100,,https://luxfitsf.com/,"432 Octavia St Unit C, San Francisco, CA 94102",YUNAKIN,https://maps.app.goo.gl/jQomBuVZ4XYoSBKZ9,,Wellness,,
Approved,,ClassX,ClassX is an AI-powered platform that connects individuals worldwide with expert-led learning groups focused on IT skills from industry-leading companies.,First in person class in SF for free,,https://www.classx.tech/,,(send email asking for free day pass with code Yunakin),,,Education,,
Approved,,Mercury,"Easy-to-use startup banking — Make efficient, real-time banking decisions from a single source of truth. No monthly fees","Deposit $10,000 into your free Mercury Bank account in the first 90 days, you’ll earn $250",,https://mercury.com/r/goodinc,,goodinc,,,Work,,
Approved,,Intercom,Transforming communication between businesses and customers.,90% discount for 6 months,,https://www.intercom.com/early-stage,,(discount already applied on the website),,,Work,,
Approved,,Zendesk,Leading customer ticketing support platform.,6 months for free,,https://www.zendesk.com/?variantId=29269120302,,ZUPGPC05L24B,,,Work,,
Approved,,StartupCpg,Community for consumer goods startups.,Free Nielsen reports,,https://startupcpg.com/,,(discount already applied on the website),,,Work,,
Approved,,Metaschool,Learn web3 basics,Help you find a job in web3,,https://metaschool.so/,,(discount already applied on the website),,,Education,,
Approved,,Zo World,"World's finest crypto club. Exclusive access to clubhouses, lifestyle events, and Web3 innovations",7 days free,,https://zo.xyz/,"300 4th St, San Francisco, CA 94107",(send email asking for free day pass with code Yunakin),https://maps.app.goo.gl/YhzPE4Rjs6ZqaxZZA,,Education,,
Approved,,Persona,"Online identity verification software that helps any business, from any industry, collect, verify, and manage user identities throughout a customer .",First 500 identity verifications are free,,https://withpersona.com/startups,,(discount already applied on the website),,,Work,,
Waiting approval,,Shack15,"Social club dedicated to serving the next generation of entrepreneurs, innovators and changemakers.",Free day pass,,https://www.shack15.com/,,(send email asking for free day pass with code Yunakin),,,Work,,
Waiting approval,,Olo,"Sound as medicine, easier than mediation don't need concentration.",First month free valued at $7,,https://www.olo.app/,,(send email asking discount with code Yunakin),,,Wellness,,
Waiting approval,,Rootless,Daily bites made with seaweed to enhance hormonal health and well-being.,20% off your first purchase of “The Daily Bite”.,,getrootless.com,,(discount already applied on the website),,,Wellness,,
Waiting approval,,The Portal,Co-working space (uppon approval) and urban sanctuarie with ancient practices and emerging technologies in health and welness.,20% off your first biohacking spa,,https://www.theportal.house/,"33 Reed Blvd, Mill Valley, CA 94941",(send email asking discount with code Yunakin),https://maps.app.goo.gl/fofdT93KkCiMFSrq6,,Wellness,,
Waiting approval,,Afterwork,Your AI-Powered Corporate Event Planner.,3 months free,,https://www.goafterwork.com/,,(discount already applied on the website),,,Work,,
Waiting approval,,Singularity University,Global leader in innovation and positive impact.,20% off courses on innovation and leadership.,,https://www.su.org/executive-program,,(discount already applied on the website),,,Education,,
Waiting approval,,Informal,freelance collective that turns ideas into products.,Free consultation,,https://www.informal.cc/,,(discount already applied on the website),,,Work,,
Waiting approval,,Digits,Automated accounting and bookkeeping for startups,First month free,,https://digits.com/,,(send email asking discount with code Yunakin),,,Work,,
Waiting approval,,Brex,"Spend smarter with integrated cards, expenses, banking, travel, and bill pay — in 100+ countries.",Sign up bonus of $250 when spend $1000,,http://brex.com/legalpad,,,,,Work,,
